Time,A*B
(s),(W)

0.00000000,1.43682200
0.00066700,1.53749100
0.00133400,1.58782600
0.00200100,1.61070500
0.00266800,1.55957700
0.00333500,1.58637200
0.00400200,1.53530100
0.00466900,1.46159500
0.00533600,1.56208000
0.00600300,1.63516000
0.00667000,1.61232200
0.00733700,1.73564400
0.00800400,1.73564400
0.00867100,1.68540200
0.00933800,1.63516000
0.01000500,1.61298000
0.01067200,1.56208000
0.01133900,1.58637200
0.01200600,1.48640000
0.01267300,1.40865000
0.01334000,1.51003600
0.01400700,1.45836500
0.01467400,1.61380100
0.01534100,1.63582600
0.01600800,1.58556400
0.01667500,1.63582600
0.01734200,1.61298000
0.01800900,1.68694800
0.01867600,1.76466700
0.01934300,1.79209700
0.02001000,1.94197300
0.02067700,1.96938900
0.02134400,1.97039200
0.02201100,2.09925400
0.02267800,2.02150400
0.02334500,2.09925400
0.02401200,2.07286800
0.02467900,1.86600400
0.02534600,1.99609300
0.02601300,1.91728800
0.02668000,1.97119500
0.02734700,2.02150400
0.02801400,2.27212300
0.02868100,2.09468100
0.02934800,2.17154600
0.03001500,2.09382700
0.03068200,1.73723700
0.03134900,1.91553200
0.03201600,1.81569500
0.03268300,1.89344500
0.03335000,1.89267400
0.03401700,1.91553200
0.03468400,1.94197300
0.03535100,2.01965100
0.03601800,2.09190800
0.03668500,2.24605700
0.03735200,2.21979800
0.03801900,2.24720300
0.03868600,2.32579800
0.03935300,2.27460700
0.04002000,2.29744500
0.04068700,2.39670700
0.04135400,2.37388100
0.04202100,2.29838200
0.04268800,2.34768700
0.04335500,2.27553500
0.04402200,2.32698300
0.04468900,2.40347700
0.04535600,2.40470100
0.04602300,2.47784800
0.04669000,2.37727100
0.04735700,2.37824000
0.04802400,2.27304900
0.04869100,2.15065800
0.04935800,2.09574700
0.05002500,2.09574700
0.05069200,2.25132700
0.05135900,2.32793100
0.05202600,2.47784800
0.05269300,2.39890700
0.05336000,2.39792900
0.05402700,2.37606100
0.05469400,2.29955300
0.05536100,2.57947600
0.05602800,2.57947600
0.05669500,2.73386200
0.05736200,2.88325800
0.05802900,2.80443600
0.05869600,2.90948800
0.05936300,2.88208300
0.06003000,2.93083000
0.06069700,2.83184100
0.06136400,2.70505400
0.06203100,2.65479100
0.06269800,2.62978500
0.06336500,2.73497600
0.06403200,2.85584200
0.06469900,2.80557900
0.06536600,2.75531700
0.06603300,2.78273200
0.06670000,2.86186900
0.06736700,2.96365300
0.06803400,3.03683000
0.06870100,3.19233000
0.06936800,3.16778900
0.07003500,3.14490100
0.07070200,3.17107600
0.07136900,3.04140300
0.07203600,3.06146300
0.07270300,3.21094200
0.07337000,3.26417600
0.07403700,3.26550700
0.07470400,3.21683500
0.07537100,3.21519800
0.07603800,3.06302300
0.07670500,3.11172500
0.07737200,3.28858900
0.07803900,3.18940400
0.07870600,3.23966700
0.07937300,3.52019000
0.08004000,3.31903700
0.08070700,3.29294800
0.08137400,3.21388800
0.08204100,2.91334400
0.08270800,3.04295200
0.08337500,3.11331100
0.08404200,3.37069800
0.08470900,3.46990200
0.08537600,3.49733200
0.08604300,3.55231800
0.08671000,3.50053800
0.08737700,3.59790900
0.08804400,3.59790900
0.08871100,3.67038600
0.08937800,3.64299500
0.09004500,3.64485300
0.09071200,3.69509500
0.09137900,3.69848600
0.09204600,3.74877400
0.09271300,3.64968400
0.09338000,3.57505100
0.09404700,3.49733200
0.09471400,3.49733200
0.09538100,3.51839700
0.09604800,3.54581400
0.09671500,3.62349200
0.09738200,3.41961400
0.09804900,3.34325700
0.09871600,3.39529300
0.09938300,3.47308300
0.10005000,3.69848600
0.10071700,3.72591600
0.10138400,3.64633900
0.10205100,3.52476200
0.10271800,3.44844800
0.10338500,3.54762000
0.10405200,3.69848600
0.10471900,3.80169700
0.10538600,3.97990200
0.10605300,3.95449900
0.10672000,3.95611100
0.10738700,3.97533200
0.10805400,3.92507000
0.10872100,4.00274800
0.10938800,4.05135900
0.11005500,4.03221800
0.11072200,3.93324400
0.11138900,4.00478800
0.11205600,3.90421100
0.11272300,3.85549400
0.11339000,3.85392300
0.11405700,3.77620400
0.11472400,3.64819700
0.11539100,3.64485300
0.11605800,3.74533700
0.11672500,3.56866000
0.11739200,3.64819700
0.11805900,3.67712500
0.11872600,3.67899700
0.11939300,3.80518400
0.12006000,3.92707000
0.12072700,4.03221800
0.12139400,4.03221800
0.12206100,4.03386100
0.12272800,3.95611100
0.12339500,3.90421100
0.12406200,3.87480700
0.12472900,3.95248500
0.12539600,3.92507000
0.12606300,3.95248500
0.12673000,3.97533200
0.12739700,3.74533700
0.12806400,3.64299500
0.12873100,3.64299500
0.12939800,3.61560400
0.13006500,3.74342800
0.13073200,3.90063200
0.13139900,3.77620400
0.13206600,3.80363400
0.13273300,3.80518400
0.13340000,3.85745600
0.13406700,3.90421100
0.13473400,3.87678100
0.13540100,3.92707000
