Time,A*B
(s),(W)

0.00000000,3.71566800
0.00066700,3.63816400
0.00133400,3.61536800
0.00200100,3.59131200
0.00266800,3.59277800
0.00333500,3.51696300
0.00400200,3.44212800
0.00466900,3.31599400
0.00533600,3.28858900
0.00600300,3.26575200
0.00667000,3.26874900
0.00733700,3.24131800
0.00800400,3.24131800
0.00867100,3.19233000
0.00933800,3.19233000
0.01000500,3.21388800
0.01067200,3.24131800
0.01133900,3.34019300
0.01200600,3.62016900
0.01267300,3.80014700
0.01334000,3.82103600
0.01400700,3.87125300
0.01467400,3.69509500
0.01534100,3.79558000
0.01600800,3.79906300
0.01667500,3.85392300
0.01734200,3.77774300
0.01800900,3.54906600
0.01867600,3.44704300
0.01934300,3.34189500
0.02001000,3.14074100
0.02067700,3.21846000
0.02134400,3.27174500
0.02201100,3.32208000
0.02267800,3.57650700
0.02334500,3.54906600
0.02401200,3.46990200
0.02467900,3.37069800
0.02534600,3.34953500
0.02601300,3.44844800
0.02668000,3.49875700
0.02734700,3.64819700
0.02801400,3.90222300
0.02868100,3.87678100
0.02934800,4.00478800
0.03001500,4.05672900
0.03068200,3.80518400
0.03134900,3.82454300
0.03201600,3.92603400
0.03268300,3.94724900
0.03335000,4.04929400
0.03401700,4.10160200
0.03468400,4.08042700
0.03535100,4.05301100
0.03601800,4.12900600
0.03668500,3.97371200
0.03735200,3.97371200
0.03801900,3.87678100
0.03868600,3.87836100
0.03935300,4.05672900
0.04002000,4.00642000
0.04068700,4.10536500
0.04135400,4.10536500
0.04202100,4.10703800
0.04268800,4.10703800
0.04335500,4.10536500
0.04402200,4.18478800
0.04468900,4.15565300
0.04535600,4.28366000
0.04602300,4.33571500
0.04669000,4.28366000
0.04735700,4.38880900
0.04802400,4.46195600
0.04869100,4.64025100
0.04935800,4.84350800
0.05002500,4.92369500
0.05069200,4.79568800
0.05135900,4.58762500
0.05202600,4.43683700
0.05269300,4.38478500
0.05336000,4.35738000
0.05402700,4.43502800
0.05469400,4.68815000
0.05536100,4.61739300
0.05602800,4.82051000
0.05669500,4.87539200
0.05736200,4.66768100
0.05802900,4.74298300
0.05869600,4.71556600
0.05936300,4.74298300
0.06003000,4.79764200
0.06069700,4.95108800
0.06136400,5.04918700
0.06203100,5.25767100
0.06269800,5.45123100
0.06336500,5.45123100
0.06403200,5.43115100
0.06469900,5.32329000
0.06536600,5.35561400
0.06603300,5.43336400
0.06670000,5.58201600
0.06736700,5.63687600
0.06803400,5.57917300
0.06870100,5.57689900
0.06936800,5.60658900
0.07003500,5.62943600
0.07070200,5.73453100
0.07136900,5.80764100
0.07203600,5.75737800
0.07270300,5.53172800
0.07337000,5.48144000
0.07403700,5.45623200
0.07470400,5.51392000
0.07537100,5.92117200
0.07603800,6.01877700
0.07670500,6.14683600
0.07737200,6.24491000
0.07803900,6.29199100
0.07870600,6.44606300
0.07937300,6.77979600
0.08004000,6.80265400
0.08070700,6.80542600
0.08137400,6.80889000
0.08204100,6.65788700
0.08270800,6.73567600
0.08337500,6.83634600
0.08404200,6.78255800
0.08470900,6.68194000
0.08537600,6.60150000
0.08604300,6.55121100
0.08671000,6.58009700
0.08737700,6.65788700
0.08804400,6.78877400
0.08871100,6.81512600
0.08937800,6.86659500
0.09004500,6.81346600
0.09071200,6.86380100
0.09137900,6.96092600
0.09204600,6.91061700
0.09271300,7.03768300
0.09338000,7.06154300
0.09404700,6.98094900
0.09471400,7.18667400
0.09538100,7.23696300
0.09604800,7.29022100
0.09671500,7.54633900
0.09738200,7.49297700
0.09804900,7.64384200
0.09871600,7.69021200
0.09938300,7.76789100
0.10005000,7.69021200
0.10071700,7.57069500
0.10138400,7.59664700
0.10205100,7.57378100
0.10271800,7.70118400
0.10338500,7.81815400
0.10405200,7.84556900
0.10471900,7.86841600
0.10538600,7.89261300
0.10605300,7.93051600
0.10672000,7.95338400
0.10738700,7.85676400
0.10805400,7.91434000
0.10872100,7.90709800
0.10938800,7.98488800
0.11005500,8.03522200
0.11072200,8.10100900
0.11138900,8.17872700
0.11205600,8.43044600
0.11272300,8.50465700
0.11339000,8.58123500
0.11405700,8.81419100
0.11472400,8.53879700
0.11539100,8.61654700
0.11605800,8.56623700
0.11672500,8.32992100
0.11739200,8.35702300
0.11805900,8.38787000
0.11872600,8.30673500
0.11939300,8.03113400
0.12006000,7.94609500
0.12072700,7.79530600
0.12139400,7.59355300
0.12206100,7.82213800
0.12272800,7.77501600
0.12339500,7.82213800
0.12406200,8.10431100
0.12472900,8.05400200
0.12539600,8.13175200
0.12606300,8.03522200
0.12673000,8.00369400
0.12739700,8.07815100
0.12806400,8.05072100
0.12873100,8.22482500
0.12939800,8.07074500
0.13006500,8.12430000
0.13073200,8.22147200
0.13139900,8.07074500
0.13206600,8.34936200
0.13273300,8.40303000
0.13340000,8.37219900
0.13406700,8.35276700
0.13473400,8.27930500
0.13540100,8.17456200
