Time,A*B
(s),(W)

0.00000000,4.10536500
0.00066700,4.08417000
0.00133400,3.85392300
0.00200100,3.95248500
0.00266800,3.85392300
0.00333500,3.82649200
0.00400200,3.85392300
0.00466900,3.77620400
0.00533600,3.75334500
0.00600300,3.72250000
0.00667000,3.87480700
0.00733700,3.90421100
0.00800400,3.82454300
0.00867100,3.87836100
0.00933800,3.72591600
0.01000500,3.62349200
0.01067200,3.62349200
0.01133900,3.49555100
0.01200600,3.33883200
0.01267300,3.16198800
0.01334000,3.26874900
0.01400700,3.26708400
0.01467400,3.44844800
0.01534100,3.54906600
0.01600800,3.46990200
0.01667500,3.36932500
0.01734200,3.28993000
0.01800900,3.21225100
0.01867600,3.21388800
0.01934300,3.19233000
0.02001000,3.03683000
0.02067700,3.09045300
0.02134400,3.11172500
0.02201100,3.23834600
0.02267800,3.28858900
0.02334500,3.36623600
0.02401200,3.41647900
0.02467900,3.34019300
0.02534600,3.46813500
0.02601300,3.36760900
0.02668000,3.14074100
0.02734700,3.13914200
0.02801400,3.01120000
0.02868100,3.01120000
0.02934800,2.93352100
0.03001500,2.78415000
0.03068200,2.73386200
0.03134900,2.60585500
0.03201600,2.70643200
0.03268300,2.68466800
0.03335000,2.70753500
0.03401700,2.73636900
0.03468400,2.65857900
0.03535100,2.65722600
0.03601800,2.68145800
0.03668500,2.75672100
0.03735200,2.73135600
0.03801900,2.78018000
0.03868600,2.72884900
0.03935300,2.65370800
0.04002000,2.80557900
0.04068700,2.70505400
0.04135400,2.60346600
0.04202100,2.50170600
0.04268800,2.29744500
0.04335500,2.29744500
0.04402200,2.29838200
0.04468900,2.24926400
0.04535600,2.24926400
0.04602300,2.17154600
0.04669000,2.14868800
0.04735700,2.27096600
0.04802400,2.19696000
0.04869100,2.12017700
0.04935800,1.99223500
0.05002500,1.71437800
0.05069200,1.68694800
0.05135900,1.76376800
0.05202600,1.84238500
0.05269300,2.14671800
0.05336000,2.14671800
0.05402700,2.19696000
0.05469400,2.21866600
0.05536100,2.09190800
0.05602800,2.19696000
0.05669500,2.32485000
0.05736200,2.42533400
0.05802900,2.34768700
0.05869600,2.34864400
0.05936300,2.19785600
0.06003000,2.14671800
0.06069700,2.19785600
0.06136400,2.19785600
0.06203100,2.09733100
0.06269800,1.94375400
0.06336500,1.97039200
0.06403200,1.86524400
0.06469900,1.84313600
0.06536600,1.94375400
0.06603300,1.92186400
0.06670000,1.84313600
0.06736700,1.86524400
0.06803400,1.76538600
0.06870100,1.66476800
0.06936800,1.76538600
0.07003500,1.84407400
0.07070200,1.97039200
0.07136900,1.89171000
0.07203600,1.94197300
0.07270300,1.96858600
0.07337000,1.99142300
0.07403700,2.21979800
0.07470400,2.17044000
0.07537100,2.04249800
0.07603800,1.94197300
0.07670500,1.94296200
0.07737200,1.84144700
0.07803900,1.89267400
0.07870600,1.73723700
0.07937300,1.48579500
0.08004000,1.56415000
0.08070700,1.56494700
0.08137400,1.71664900
0.08204100,1.81735900
0.08270800,1.73882900
0.08337500,1.71437800
0.08404200,1.68608900
0.08470900,1.71350500
0.08537600,1.81403100
0.08604300,1.94197300
0.08671000,1.91455700
0.08737700,1.99223500
0.08804400,1.91912600
0.08871100,1.76466700
0.08937800,2.06991400
0.09004500,2.14562300
0.09071200,2.29533600
0.09137900,2.42310900
0.09204600,2.19696000
0.09271300,2.12212200
0.09338000,1.99406300
0.09404700,1.92010400
0.09471400,1.89363800
0.09538100,2.01882800
0.09604800,2.09276100
0.09671500,2.19785600
0.09738200,2.16955500
0.09804900,1.94197300
0.09871600,1.96938900
0.09938300,1.84144700
0.10005000,1.84069600
0.10071700,1.91377600
0.10138400,2.01965100
0.10205100,2.19897600
0.10271800,2.22070300
0.10338500,2.32579800
0.10405200,2.24605700
0.10471900,2.32271600
0.10538600,2.47431500
0.10605300,2.50170600
0.10672000,2.62953000
0.10738700,2.57606100
0.10805400,2.57842500
0.10872100,2.57842500
0.10938800,2.55791000
0.11005500,2.57947600
0.11072200,2.65614300
0.11138900,2.68009400
0.11205600,2.68009400
0.11272300,2.62978500
0.11339000,2.55660800
0.11405700,2.58078900
0.11472400,2.57947600
0.11539100,2.65857900
0.11605800,2.62978500
0.11672500,2.68220700
0.11739200,2.78415000
0.11805900,2.73247000
0.11872600,2.83443900
0.11939300,2.80815300
0.12006000,2.37824000
0.12072700,2.57947600
0.12139400,2.62871400
0.12206100,2.91067400
0.12272800,3.36760900
0.12339500,3.36760900
0.12406200,3.54581400
0.12472900,3.31903700
0.12539600,3.36760900
0.12606300,3.36760900
0.12673000,3.26417600
0.12739700,3.24131800
0.12806400,3.21519800
0.12873100,3.24263900
0.12939800,3.24429000
0.13006500,3.40159900
0.13073200,3.47485100
0.13139900,3.50374500
0.13206600,3.57832800
0.13273300,3.64819700
0.13340000,3.67562700
0.13406700,3.69848600
0.13473400,3.67562700
0.13540100,3.67562700
