Time,A*B
(s),(W)

0.00000000,6.06661400
0.00066700,5.96299800
0.00133400,5.93860700
0.00200100,5.70478800
0.00266800,5.52891000
0.00333500,5.45623200
0.00400200,5.35343200
0.00466900,5.35343200
0.00533600,5.48144000
0.00600300,5.52891000
0.00667000,5.52665700
0.00733700,5.49925100
0.00800400,5.31840700
0.00867100,5.29558100
0.00933800,5.14755500
0.01000500,5.06732400
0.01067200,5.19514800
0.01133900,5.11754000
0.01200600,5.11754000
0.01267300,5.16775700
0.01334000,5.12015000
0.01400700,4.94403400
0.01467400,4.92369500
0.01534100,4.77020100
0.01600800,4.71556600
0.01667500,4.76388600
0.01734200,4.71124100
0.01800900,4.63599700
0.01867600,4.48938600
0.01934300,4.46377400
0.02001000,4.44090700
0.02067700,4.39059700
0.02134400,4.39059700
0.02201100,4.28147800
0.02267800,4.23121500
0.02334500,4.35738000
0.02401200,4.30494300
0.02467900,4.27973300
0.02534600,4.33454300
0.02601300,4.13069000
0.02668000,4.08250700
0.02734700,4.05672900
0.02801400,4.03133900
0.02868100,4.10703800
0.02934800,4.05507700
0.03001500,3.92507000
0.03068200,4.00274800
0.03134900,3.87678100
0.03201600,3.82649200
0.03268300,4.18478800
0.03335000,4.05672900
0.03401700,4.08250700
0.03468400,3.98355200
0.03535100,3.52019000
0.03601800,3.41961400
0.03668500,3.44844800
0.03735200,3.54762000
0.03801900,3.75030200
0.03868600,3.74877400
0.03935300,3.72401800
0.04002000,3.82454300
0.04068700,3.85039000
0.04135400,3.85039000
0.04202100,3.85039000
0.04268800,3.72401800
0.04335500,3.57323000
0.04402200,3.57177300
0.04468900,3.54436800
0.04535600,3.52296700
0.04602300,3.57177300
0.04669000,3.57505100
0.04735700,3.59790900
0.04802400,3.69848600
0.04869100,3.77966600
0.04935800,3.83000100
0.05002500,3.68049500
0.05069200,3.62076700
0.05135900,3.36932500
0.05202600,3.21388800
0.05269300,3.34189500
0.05336000,3.24263900
0.05402700,3.42100700
0.05469400,3.52019000
0.05536100,3.59790900
0.05602800,3.62681600
0.05669500,3.54906600
0.05736200,3.42100700
0.05802900,3.34325700
0.05869600,3.41961400
0.05936300,3.36760900
0.06003000,3.44704300
0.06069700,3.34019300
0.06136400,3.23966700
0.06203100,3.31734600
0.06269800,3.31599400
0.06336500,3.39364100
0.06403200,3.39502500
0.06469900,3.31903700
0.06536600,3.26874900
0.06603300,3.19395500
0.06670000,3.11616500
0.06736700,3.01396200
0.06803400,2.96365300
0.06870100,2.96244600
0.06936800,3.06302300
0.07003500,3.19395500
0.07070200,3.29462400
0.07136900,3.37069800
0.07203600,3.26874900
0.07270300,3.23966700
0.07337000,3.29160700
0.07403700,3.34189500
0.07470400,3.31903700
0.07537100,3.41961400
0.07603800,3.52019000
0.07670500,3.57650700
0.07737200,3.77966600
0.07803900,3.87678100
0.07870600,3.85196000
0.07937300,3.82454300
0.08004000,3.85196000
0.08070700,3.85392300
0.08137400,3.52019000
0.08204100,3.49733200
0.08270800,3.49555100
0.08337500,3.41961400
0.08404200,3.64968400
0.08470900,3.57193400
0.08537600,3.60120700
0.08604300,3.57832800
0.08671000,3.57650700
0.08737700,3.75487500
0.08804400,3.69999300
0.08871100,3.80363400
0.08937800,3.75030200
0.09004500,3.59937500
0.09071200,3.75487500
0.09137900,3.64968400
0.09204600,3.82805200
0.09271300,3.95449900
0.09338000,3.85039000
0.09404700,4.07876400
0.09471400,4.17541400
0.09538100,4.27755100
0.09604800,4.33174100
0.09671500,4.33571500
0.09738200,4.26644400
0.09804900,4.26644400
0.09871600,4.33792200
0.09938300,4.23725300
0.10005000,4.28758700
0.10071700,4.21651800
0.10138400,4.16158000
0.10205100,4.15946300
0.10271800,4.18478800
0.10338500,4.15734700
0.10405200,4.21437400
0.10471900,4.39059700
0.10538600,4.33571500
0.10605300,4.53736200
0.10672000,4.66340200
0.10738700,4.84350800
0.10805400,4.94655300
0.10872100,4.99684100
0.10938800,4.99887800
0.11005500,4.87539200
0.11072200,4.94655300
0.11138900,5.07456100
0.11205600,5.22542600
0.11272300,5.35343200
0.11339000,5.43336400
0.11405700,5.30800600
0.11472400,5.15700200
0.11539100,5.10209200
0.11605800,5.20733600
0.11672500,5.25499600
0.11739200,5.40372100
0.11805900,5.40592300
0.11872600,5.30530500
0.11939300,5.38579600
0.12006000,5.36052200
0.12072700,5.43336400
0.12139400,5.53679900
0.12206100,5.64033700
0.12272800,5.76852700
0.12339500,5.84873400
0.12406200,5.94405100
0.12472900,5.81060000
0.12539600,5.91815900
0.12606300,5.81296800
0.12673000,5.76265900
0.12739700,5.81296800
0.12806400,5.80764100
0.12873100,5.98340500
0.12939800,6.06105200
0.13006500,6.14120300
0.13073200,6.04375500
0.13139900,5.99133600
0.13206600,5.71235000
0.13273300,5.71235000
0.13340000,5.81060000
0.13406700,5.93860700
0.13473400,6.20030000
0.13540100,6.22001300
