Time,A*B
(s),(W)

0.00000000,7.90307500
0.00066700,7.97757400
0.00133400,7.92324800
0.00200100,8.10145300
0.00266800,8.17872700
0.00333500,8.20950200
0.00400200,8.05400200
0.00466900,8.02786300
0.00533600,8.12430000
0.00600300,8.07074500
0.00667000,8.38018200
0.00733700,8.45441400
0.00800400,8.43044600
0.00867100,8.43044600
0.00933800,8.45441400
0.01000500,8.35702300
0.01067200,8.22482500
0.01133900,8.25644600
0.01200600,8.25981000
0.01267300,8.23236900
0.01334000,8.28725200
0.01400700,8.28387600
0.01467400,8.30673500
0.01534100,8.38445300
0.01600800,8.48848800
0.01667500,8.41502000
0.01734200,8.49280900
0.01800900,8.58910700
0.01867600,8.53531900
0.01934300,8.58580400
0.02001000,8.55489800
0.02067700,8.55489800
0.02134400,8.52314700
0.02201100,8.57336400
0.02267800,8.65097100
0.02334500,8.62358000
0.02401200,8.80611000
0.02467900,8.88375800
0.02534600,8.85996400
0.02601300,8.83711800
0.02668000,8.70917600
0.02734700,8.66332500
0.02801400,8.56274800
0.02868100,8.46104600
0.02934800,8.53879700
0.03001500,8.48848800
0.03068200,8.53879700
0.03134900,8.56623700
0.03201600,8.59347900
0.03268300,8.53879700
0.03335000,8.48848800
0.03401700,8.61654700
0.03468400,8.48503000
0.03535100,8.58910700
0.03601800,8.64046700
0.03668500,8.65891400
0.03735200,8.65891400
0.03801900,8.75586800
0.03868600,8.65538300
0.03935300,8.70917600
0.04002000,8.79133300
0.04068700,8.68972400
0.04135400,8.84972700
0.04202100,8.74003300
0.04268800,8.73647300
0.04335500,8.68618400
0.04402200,8.63149700
0.04468900,8.58123500
0.04535600,8.53531900
0.04602300,8.58123500
0.04669000,8.48070900
0.04735700,8.43044600
0.04802400,8.50032100
0.04869100,8.45010400
0.04935800,8.38018200
0.05002500,8.43044600
0.05069200,8.43474200
0.05135900,8.43474200
0.05202600,8.52749400
0.05269300,8.60514100
0.05336000,8.53097200
0.05402700,8.40303000
0.05469400,8.38018200
0.05536100,8.30250500
0.05602800,8.27206300
0.05669500,8.42271300
0.05736200,8.47293000
0.05802900,8.57336400
0.05869600,8.60514100
0.05936300,8.55838700
0.06003000,8.45786200
0.06069700,8.30250500
0.06136400,8.17456200
0.06203100,7.99635800
0.06269800,7.86841600
0.06336500,7.79530600
0.06403200,7.77184900
0.06469900,7.82213800
0.06536600,7.87563400
0.06603300,7.82930900
0.06670000,7.95743300
0.06736700,7.90307500
0.06803400,7.88020700
0.06870100,7.82213800
0.06936800,7.62098400
0.07003500,7.63994900
0.07070200,7.79212900
0.07136900,8.04662000
0.07203600,8.17122900
0.07270300,8.17456200
0.07337000,8.17872700
0.07403700,8.02377400
0.07470400,7.99635800
0.07537100,7.99309900
0.07603800,7.93880700
0.07670500,7.80779600
0.07737200,7.83517500
0.07803900,7.79212900
0.07870600,7.63683400
0.07937300,7.64384200
0.08004000,7.51583500
0.08070700,7.41148200
0.08137400,7.33380200
0.08204100,7.18301400
0.08270800,7.08609800
0.08337500,7.08609800
0.08404200,6.95809000
0.08470900,6.93066100
0.08537600,6.74892600
0.08604300,6.69866300
0.08671000,6.79918900
0.08737700,6.79918900
0.08804400,6.90428400
0.08871100,6.92713100
0.08937800,6.67309500
0.09004500,6.69251900
0.09071200,6.71991000
0.09137900,6.61947600
0.09204600,6.77358000
0.09271300,6.74617500
0.09338000,6.57072200
0.09404700,6.64840100
0.09471400,6.49496400
0.09538100,6.35005800
0.09604800,6.34423600
0.09671500,6.14120300
0.09738200,6.17176200
0.09804900,6.11378700
0.09871600,6.01632500
0.09938300,6.01632500
0.10005000,5.88831800
0.10071700,5.80764100
0.10138400,5.75737800
0.10205100,5.70711500
0.10271800,5.73453100
0.10338500,5.83505700
0.10405200,5.91032600
0.10471900,5.85253000
0.10538600,5.96056700
0.10605300,5.93013800
0.10672000,5.85551500
0.10738700,5.90731200
0.10805400,5.72693300
0.10872100,5.65166400
0.10938800,5.55123000
0.11005500,5.34852500
0.11072200,5.32785900
0.11138900,5.17513700
0.11205600,5.17513700
0.11272300,5.15227800
0.11339000,4.92570100
0.11405700,4.92570100
0.11472400,4.89826000
0.11539100,4.84795100
0.11605800,4.97145000
0.11672500,4.89626500
0.11739200,4.84795100
0.11805900,4.82051000
0.11872600,4.71989200
0.11939300,4.66340200
0.12006000,4.68841600
0.12072700,4.68841600
0.12139400,4.73669900
0.12206100,4.78884900
0.12272800,4.71124100
0.12339500,4.76145800
0.12406200,4.81412900
0.12472900,4.78884900
0.12539600,4.76145800
0.12606300,4.61080800
0.12673000,4.51267500
0.12739700,4.53551200
0.12806400,4.46015700
0.12873100,4.46243200
0.12939800,4.35738000
0.13006500,4.26080200
0.13073200,4.18478800
0.13139900,4.15734700
0.13206600,4.08250700
0.13273300,4.00478800
0.13340000,3.95611100
0.13406700,3.85392300
0.13473400,3.79906300
0.13540100,3.84935100
