Time,A*B
(s),(W)

0.00000000,5.98340500
0.00066700,5.98584600
0.00133400,5.88531900
0.00200100,5.78774100
0.00266800,5.73453100
0.00333500,5.67738400
0.00400200,5.62714100
0.00466900,5.52891000
0.00533600,5.40372100
0.00600300,5.30530500
0.00667000,5.15700200
0.00733700,5.12693700
0.00800400,5.17513700
0.00867100,5.20256700
0.00933800,5.14508500
0.01000500,5.12693700
0.01067200,4.97854300
0.01133900,4.90075400
0.01200600,4.80008500
0.01267300,4.74733400
0.01334000,4.89826000
0.01400700,4.89626500
0.01467400,5.04918700
0.01534100,5.02427200
0.01600800,4.94403400
0.01667500,4.89377100
0.01734200,4.81412900
0.01800900,4.94201900
0.01867600,5.06990900
0.01934300,5.12015000
0.02001000,5.04250300
0.02067700,4.92118700
0.02134400,4.69272000
0.02201100,4.56477800
0.02267800,4.58996200
0.02334500,4.53967400
0.02401200,4.46604600
0.02467900,4.44316700
0.02534600,4.36537700
0.02601300,4.13658400
0.02668000,4.16022500
0.02734700,4.08417000
0.02801400,4.10536500
0.02868100,4.33394900
0.02934800,4.28540600
0.03001500,4.31284700
0.03068200,4.25796500
0.03134900,3.92867000
0.03201600,4.08250700
0.03268300,4.00274800
0.03335000,4.08042700
0.03401700,4.27973300
0.03468400,4.07876400
0.03535100,4.15184400
0.03601800,4.00274800
0.03668500,3.97990200
0.03735200,4.00274800
0.03801900,3.95611100
0.03868600,3.87678100
0.03935300,3.80518400
0.04002000,3.62866300
0.04068700,3.50053800
0.04135400,3.63014000
0.04202100,3.98720300
0.04268800,4.08999200
0.04335500,4.11080200
0.04402200,3.88033500
0.04468900,3.57375200
0.04535600,3.54762000
0.04602300,3.57047900
0.04669000,3.67562700
0.04735700,3.59790900
0.04802400,3.57505100
0.04869100,3.54581400
0.04935800,3.54436800
0.05002500,3.46354000
0.05069200,3.43896700
0.05135900,3.41334300
0.05202600,3.41334300
0.05269300,3.59131200
0.05336000,3.69777700
0.05402700,3.64299500
0.05469400,3.77274200
0.05536100,3.62533900
0.05602800,3.49733200
0.05669500,3.54581400
0.05736200,3.34189500
0.05802900,3.44704300
0.05869600,3.45020400
0.05936300,3.45020400
0.06003000,3.42100700
0.06069700,3.29294800
0.06136400,3.26874900
0.06203100,3.14202100
0.06269800,3.14362100
0.06336500,3.27174500
0.06403200,3.27008100
0.06469900,3.41961400
0.06536600,3.51839700
0.06603300,3.46672100
0.06670000,3.54436800
0.06736700,3.44528800
0.06803400,3.34646700
0.06870100,3.26874900
0.06936800,3.24131800
0.07003500,3.28993000
0.07070200,3.31734600
0.07136900,3.29160700
0.07203600,3.32038900
0.07270300,3.21519800
0.07337000,3.21519800
0.07403700,3.16359900
0.07470400,3.16198800
0.07537100,3.14074100
0.07603800,3.14074100
0.07670500,3.11331100
0.07737200,2.88590300
0.07803900,3.01396200
0.07870600,3.01396200
0.07937300,3.14362100
0.08004000,3.27174500
0.08070700,3.27008100
0.08137400,3.44528800
0.08204100,3.41787200
0.08270800,3.46672100
0.08337500,3.49412600
0.08404200,3.28858900
0.08470900,3.31430400
0.08537600,3.39191100
0.08604300,3.33713000
0.08671000,3.44528800
0.08737700,3.39218400
0.08804400,3.31903700
0.08871100,3.36932500
0.08937800,3.31734600
0.09004500,3.41787200
0.09071200,3.24131800
0.09137900,3.14362100
0.09204600,3.11616500
0.09271300,3.06583100
0.09338000,3.16650000
0.09404700,3.24263900
0.09471400,3.32208000
0.09538100,3.24263900
0.09604800,3.34325700
0.09671500,3.34325700
0.09738200,3.19233000
0.09804900,3.29294800
0.09871600,3.31903700
0.09938300,3.46990200
0.10005000,3.69848600
0.10071700,3.87836100
0.10138400,3.90580200
0.10205100,3.85392300
0.10271800,3.95248500
0.10338500,3.92507000
0.10405200,3.87480700
0.10471900,3.93164100
0.10538600,3.77620400
0.10605300,3.67375500
0.10672000,3.69848600
0.10738700,3.57505100
0.10805400,3.54762000
0.10872100,3.54762000
0.10938800,3.67562700
0.11005500,3.64633900
0.11072200,3.67712500
0.11138900,3.75412000
0.11205600,3.63198600
0.11272300,3.83545700
0.11339000,3.98923100
0.11405700,4.08791300
0.11472400,4.28540600
0.11539100,4.26080200
0.11605800,4.21051400
0.11672500,4.13069000
0.11739200,4.08250700
0.11805900,4.15734700
0.11872600,4.21051400
0.11939300,4.26253800
0.12006000,4.26080200
0.12072700,4.20594200
0.12139400,4.25623000
0.12206100,4.15565300
0.12272800,4.26253800
0.12339500,4.41346500
0.12406200,4.36315600
0.12472900,4.46377400
0.12539600,4.39059700
0.12606300,4.28540600
0.12673000,4.23725300
0.12739700,4.23725300
0.12806400,4.28540600
0.12873100,4.33571500
0.12939800,4.36137900
0.13006500,4.53967400
0.13073200,4.64025100
0.13139900,4.61047100
0.13206600,4.71796900
0.13273300,4.69053900
0.13340000,4.69245100
0.13406700,4.74733400
0.13473400,4.71796900
0.13540100,4.66530400
